id,用户,内容,属性,状态,IP,时间,排序,类型,审核管理员,话题
"324990","    Aff：325572373 , 夸 Vip：undefined 余额：30  |  收益：0  认证：否     "," 我要爬爬爬爬爬爬爬 #达人原创  ， "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：120.239.28.221  城市：广东 "," 创：2026-04-01 18:38:53 改：2026-04-01 18:38:53 ","0","文字","(id: 0)","达人原创"
"324989","    Aff：505088627 , 负责和柜子 Vip：undefined 余额：0  |  收益：0  认证：否     "," 肥臀母狗有喜欢的吗 #达人原创  肥臀母狗有喜欢的吗 "," 图片：0  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：124.239.117.3  城市：河北 "," 创：2026-04-01 18:38:33 改：2026-04-01 18:38:33 ","0","视频","(id: 0)","达人原创"
"324988","    Aff：69377495 , 复杂与冬日 Vip：undefined 余额：0  |  收益：0  认证：否     "," 本人18找个姐姐互看 #达人原创  本人18，找个姐姐互看 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：122.192.14.159  城市：江苏 "," 创：2026-04-01 18:38:24 改：2026-04-01 18:38:24 ","0","文字","(id: 0)","达人原创"
"324987","    Aff：6445885 , 想操秀 Vip：undefined 余额：0  |  收益：0  认证：否     "," 我老婆的大贱逼，想后续的留言，评论区留自己老婆的照片 #达人原创  我老婆的大贱逼，想后续的留言，评论区留自己老婆的照片 "," 图片：2  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：39.162.230.15  城市：河南 "," 创：2026-04-01 18:35:56 改：2026-04-01 18:35:56 ","0","图片","(id: 0)","达人原创"
"324986","    Aff：456447678 , 缥缈向音响 Vip：undefined 余额：0  |  收益：0  认证：否     "," 山东滨州想吃几把 #原创视频  山东滨州想吃几把 "," 图片：0  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：120.225.173.17  城市：山东 "," 创：2026-04-01 18:33:17 改：2026-04-01 18:33:17 ","0","视频","(id: 0)","原创视频"
"324985","    Aff：323218183 , 怡然钥匙 Vip：undefined 余额：0  |  收益：0  认证：否     "," 大哥们求脱我的妹妹 #AI写真  求 "," 图片：1  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：183.197.149.239  城市：河北 "," 创：2026-04-01 18:30:51 改：2026-04-01 18:30:51 ","0","图片","(id: 0)","AI写真"
"324984","    Aff：206210880 , 粗暴保卫火 Vip：undefined 余额：0  |  收益：0  认证：否     "," 前女友的母狗生活，分手不到两天就跟别人睡觉了，真是个欠操的 #达人原创  前女友的母狗生活，分手不到两天就跟别人睡觉了，真是个欠操的 "," 图片：3  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：117.9.16.52  城市：中国–天津–天津 "," 创：2026-04-01 18:30:23 改：2026-04-01 18:30:23 ","0","图片","(id: 0)","达人原创"
"324983","    Aff：484199298 , 高大就高跟鞋 Vip：undefined 余额：0  |  收益：0  认证：否     "," 帮忙看看骚逼被多少人操过，求重评！，母狗想看 #达人原创  帮忙看看骚逼被多少人操过，求重评！，母狗想看 "," 图片：3  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：60.11.69.20  城市：黑龙江 "," 创：2026-04-01 18:29:32 改：2026-04-01 18:29:32 ","0","图片","(id: 0)","达人原创"
"324982","    Aff：365346384 , wobupeir Vip：undefined 余额：0  |  收益：0  认证：否     "," 骚女找我00000 #达人原创  。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。.... "," 图片：1  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：223.104.204.90  城市：陕西 "," 创：2026-04-01 18:28:47 改：2026-04-01 18:28:47 ","0","图片","(id: 0)","达人原创"
"324981","    Aff：203576020 , 后天NTR圣体 Vip：undefined 余额：0  |  收益：0  认证：否     "," 娇妻美臀第三弹，化身性奴的小骚妻 #人妻熟女  娇妻美臀第三弹，化身性奴的小骚妻 "," 图片：5  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：223.104.202.87  城市：陕西 "," 创：2026-04-01 18:25:50 改：2026-04-01 18:25:50 ","0","视频","(id: 0)","人妻熟女"
"324980","    Aff：162028603 , 无情大树 Vip：undefined 余额：0  |  收益：0  认证：否     "," 怎么月抛啊，家人们求指导 #日常吐槽  好像知道哪里有免费炮 "," 图片：0  |  视频：0  点赞：0  |  浏览：161  点赞(假)：0  |  浏览(假)：0  评论：8  来源标识： "," 审核：通过 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：118.183.124.244  城市：甘肃 "," 创：2026-04-01 18:23:49 改：2026-04-01 20:44:10 ","0","文字","ljl123(id: 263)","日常吐槽"
"324979","    Aff：476347590 , 落后火龙果 Vip：undefined 余额：11  |  收益：0  认证：否     "," 有没有聊骚的女生 #达人原创  来个女生聊骚 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：未通过 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：39.144.22.172  城市：河南 "," 创：2026-04-01 18:18:38 改：2026-04-01 18:30:43 ","0","文字","ljl123(id: 263)","达人原创"
"324978","    Aff：502910251 , 轻喘丝滑 Vip：undefined 余额：0  |  收益：0  认证：否     "," 短发御姐白嫩身材太犯规！床上自摸到高潮，腿张开任由猛男无套狂插，浪叫声又软又媚 #福利自拍  这个短发美女一看就很有御姐范，气质冷艳又带点成熟魅力，但一脱衣服就彻底暴露了小白嫩的淫荡本性！她躺在.... "," 图片：2  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：43.255.54.136  城市：香港 "," 创：2026-04-01 18:17:47 改：2026-04-01 18:17:47 ","0","视频","(id: 0)","福利自拍"
"324977","    Aff：361977411 , 刻苦戒指 Vip：undefined 余额：0  |  收益：0  认证：否     "," 家人们，这个片谁有呀 #求瓜互助  家人们，这个片谁有呀 "," 图片：1  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：101.71.37.99  城市：浙江 "," 创：2026-04-01 18:16:25 改：2026-04-01 18:16:25 ","0","图片","(id: 0)","求瓜互助"
"324976","    Aff：505468415 , 敏感板凳 Vip：undefined 余额：0  |  收益：0  认证：否     "," 破译手机看都秘密 #原创视频  破译手机看都秘密 "," 图片：2  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：是 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：175.18.187.126  城市：吉林 "," 创：2026-04-01 18:15:01 改：2026-04-01 18:15:01 ","0","视频","(id: 0)","原创视频"
"324975","    Aff：502910251 , 轻喘丝滑 Vip：undefined 余额：0  |  收益：0  认证：否     "," 极品反差女郑思影肛交视频曝光！南昌大奶翘臀被四眼猛男爆肏屁眼，无套猛插到高潮喷白浆，浪叫不止 #福利自拍  江西南昌极品反差女郑思影露脸自拍彻底流出！外表看起来清纯甜美的她，私底下竟然是个隐藏极深的大奶大腚饥.... "," 图片：2  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：43.255.54.136  城市：香港 "," 创：2026-04-01 18:14:34 改：2026-04-01 18:14:34 ","0","视频","(id: 0)","福利自拍"
"324974","    Aff：409325658 , 感性演变月亮 Vip：undefined 余额：0  |  收益：0  认证：否     "," 汾阳有没，来个汾阳的 #原创视频  汾阳##汾阳**来个汾阳的 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：未通过 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：39.144.97.188  城市：山西 "," 创：2026-04-01 18:11:52 改：2026-04-01 18:30:43 ","0","文字","ljl123(id: 263)","原创视频"
"324973","    Aff：505473112 , 坦率小伙 Vip：undefined 余额：0  |  收益：0  认证：否     "," 做任务做任务签到 #达人原创  为了签到煞费苦心 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：通过 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：109.110.162.208  城市：火星 "," 创：2026-04-01 18:11:07 改：2026-04-01 18:30:21 ","0","文字","ljl123(id: 263)","达人原创"
"324972","    Aff：266045112 , 喜悦的书包 Vip：undefined 余额：10  |  收益：0  认证：否     "," 合隆滴滴 合隆滴滴 #达人原创  合隆滴滴 合隆滴滴 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：未通过 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：123.173.234.252  城市：吉林 "," 创：2026-04-01 18:10:49 改：2026-04-01 18:30:43 ","0","文字","ljl123(id: 263)","达人原创"
"324971","    Aff：505466712 , 无语踢小熊猫 Vip：undefined 余额：0  |  收益：0  认证：否     "," 打卡打卡打卡打卡 #抖音热门  `打卡打卡打卡打卡 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：通过 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：223.160.174.244  城市：安徽 "," 创：2026-04-01 18:08:54 改：2026-04-01 18:30:21 ","0","文字","ljl123(id: 263)","抖音热门"
"324970","    Aff：249459232 , 丰饶小表妹 Vip：undefined 余额：1  |  收益：456  认证：  原创主       "," 约炮约到亲姐姐！一夜狂干三次，骚穴夹得我爽翻天，把我榨干内射爆了！ #福利自拍  昨晚在酒店约了个身材火辣的长发美女，本以为只是场刺激的一夜情，谁知见了面才发现——竟然是我的亲姐姐！.... "," 图片：5  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：192.142.4.29  城市：火星 "," 创：2026-04-01 18:05:39 改：2026-04-01 18:05:39 ","0","视频","(id: 0)","福利自拍"
"324969","    Aff：499655868 , 故意斑马 Vip：undefined 余额：0  |  收益：0  认证：否     "," 签到签到签到签到签到 #达人原创  签到签到签到签到签到 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：通过 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：223.104.108.159  城市：河南 "," 创：2026-04-01 18:04:10 改：2026-04-01 18:30:21 ","0","文字","ljl123(id: 263)","达人原创"
"324968","    Aff：460651757 , 拼搏鸵鸟 Vip：undefined 余额：0  |  收益：0  认证：否     "," 第三期廊坊 少妇，你没有你们认识的，第四个还挺好看 #原创视频  第三期廊坊 少妇，你没有你们认识的，第四个还挺好看 "," 图片：10  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：110.251.1.246  城市：河北 "," 创：2026-04-01 17:59:02 改：2026-04-01 17:59:02 ","0","图片","(id: 0)","原创视频"
"324967","    Aff：478466753 , 壮观踢枕头 Vip：undefined 余额：1  |  收益：0  认证：否     "," 广西妹子下海做推油按摩打✈️爆一波，看看那个兄弟当接盘侠，宣传宣传 #今日大瓜  广西妹子下海做推油按摩打✈️爆一波，看看那个兄弟当接盘侠，宣传宣传 "," 图片：5  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：14.112.38.205  城市：广东 "," 创：2026-04-01 17:57:26 改：2026-04-01 17:57:26 ","0","图片","(id: 0)","今日大瓜"
"324966","    Aff：460651757 , 拼搏鸵鸟 Vip：undefined 余额：0  |  收益：0  认证：否     "," 看看有没有你们女朋友或是老婆 #原创视频  看看有没有你们女朋友或是老婆 "," 图片：5  |  视频：3  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：110.251.1.246  城市：河北 "," 创：2026-04-01 17:55:20 改：2026-04-01 17:55:20 ","0","视频","(id: 0)","原创视频"
"324965","    Aff：81201736 , 随心所欲 Vip：undefined 余额：0  |  收益：0  认证：否     "," 试发一下看看能不能行 #资源分享  -试一下看一下 "," 图片：2  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：110.7.140.255  城市：内蒙古 "," 创：2026-04-01 17:49:11 改：2026-04-01 17:49:11 ","0","图片","(id: 0)","资源分享"
"324964","    Aff：486681366 , 满意故事 Vip：undefined 余额：0  |  收益：0  认证：否     "," 来人羞辱我对象，说得好给草 #达人原创  y100-100-100 "," 图片：0  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：223.79.36.97  城市：山东 "," 创：2026-04-01 17:47:29 改：2026-04-01 17:47:29 ","0","视频","(id: 0)","达人原创"
"324963","    Aff：490928576 , 迅速就小刺猬 Vip：undefined 余额：0  |  收益：0  认证：否     "," 南充的狗，，，，， #人妻熟女  有没有南充交流的，南充dou莹风霜 "," 图片：2  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：110.191.57.116  城市：四川 "," 创：2026-04-01 17:47:14 改：2026-04-01 17:47:14 ","0","图片","(id: 0)","人妻熟女"
"324962","    Aff：502460538 , 老狼 Vip：undefined 余额：0  |  收益：0  认证：否     "," 棒棒糖怎么越吃越硬 #达人原创  棒棒糖怎么越吃越硬 "," 图片：2  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：218.12.16.42  城市：河北 "," 创：2026-04-01 17:46:54 改：2026-04-01 17:46:54 ","0","图片","(id: 0)","达人原创"
"324961","    Aff：126641211 , 明亮蜜粉 Vip：undefined 余额：3  |  收益：0  认证：否     "," 新人彤彤  这个屁股第一次见就觉得必定生儿子 #AI换脸  新人彤彤  这个屁股第一次见就觉得必定生儿子 "," 图片：4  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：是 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：39.144.58.147  城市：辽宁 "," 创：2026-04-01 17:38:49 改：2026-04-01 17:38:49 ","0","图片","(id: 0)","AI换脸"
"324960","    Aff：50448381 , 慈祥世界 Vip：undefined 余额：0  |  收益：0  认证：否     "," 干得骚逼老婆直叫爸爸好舒服 #达人原创  干得骚逼老婆直叫爸爸好舒服 "," 图片：0  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：60.163.62.51  城市：浙江 "," 创：2026-04-01 17:33:05 改：2026-04-01 17:33:05 ","0","视频","(id: 0)","达人原创"
"324959","    Aff：407374404 , 飘逸店员 Vip：undefined 余额：0  |  收益：0  认证：否     "," 甘肃这边有妹妹想被调教那 #日常吐槽  调教 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：未通过 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：115.85.252.53  城市：甘肃 "," 创：2026-04-01 17:33:00 改：2026-04-01 18:30:43 ","0","文字","ljl123(id: 263)","日常吐槽"
"324958","    Aff：499716086 , 甜甜小笼包 Vip：undefined 余额：0  |  收益：0  认证：否     "," 有没有人妻互换的教程 #瓜友原创  一直想换就是不得要领 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：未通过 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：1.193.121.66  城市：河南 "," 创：2026-04-01 17:29:47 改：2026-04-01 18:30:43 ","0","文字","ljl123(id: 263)","瓜友原创"
"324957","    Aff：502760605 , 故意打香氛 Vip：undefined 余额：4  |  收益：0  认证：否     "," lsssb毋庸置疑绝对骚骚的ls #AI换脸  lsssb毋庸置疑绝对骚骚的ls "," 图片：1  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：是 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：39.144.58.147  城市：辽宁 "," 创：2026-04-01 17:29:14 改：2026-04-01 17:29:14 ","0","图片","(id: 0)","AI换脸"
"324956","    Aff：175471916 , 调皮等于美女 Vip：undefined 余额：4  |  收益：0  认证：否     "," 彤彤啊彤彤  你这屁股必定生儿子 #AI换脸  彤彤啊彤彤  你这屁股必定生儿子 "," 图片：4  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：是 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：39.144.58.147  城市：辽宁 "," 创：2026-04-01 17:27:21 改：2026-04-01 17:27:21 ","0","图片","(id: 0)","AI换脸"
"324955","    Aff：363288585 , 甜美西安 Vip：undefined 余额：0  |  收益：0  认证：否     "," 妈妈们，可以羞辱一下我的鸡鸡吗呜呜\\ud83e\\udd7a（求过） #福利自拍  妈妈们，可以羞辱一下我的鸡鸡吗呜呜🥺（求过） "," 图片：1  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：112.251.214.14  城市：山东 "," 创：2026-04-01 17:26:47 改：2026-04-01 17:26:47 ","0","图片","(id: 0)","福利自拍"
"324954","    Aff：464343759 , 平淡保卫月光 Vip：undefined 余额：0  |  收益：0  认证：否     "," 全自动，骚到你控制不住 #原创视频  *x15x-cg-x16xx15x-cg-x16x>x15x-cg-x16xx15x-cg-x16x.... "," 图片：1  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：111.19.108.106  城市：陕西 "," 创：2026-04-01 17:25:57 改：2026-04-01 17:25:57 ","0","视频","(id: 0)","原创视频"
"324953","    Aff：501533221 , 开心枕头 Vip：undefined 余额：0  |  收益：0  认证：否     "," 找个反差\\ud83d\\udc36调教文 第三张点开看 #达人原创  找个反差🐶调教文 第三张点开看 "," 图片：3  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：117.189.242.171  城市：贵州 "," 创：2026-04-01 17:25:53 改：2026-04-01 17:25:53 ","0","图片","(id: 0)","达人原创"
"324952","    Aff：61757476 , 玩命用雪糕 Vip：undefined 余额：0  |  收益：0  认证：否     "," 白白嫩嫩的白嫩嫩 #达人原创  白白嫩嫩的白嫩嫩 "," 图片：1  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：39.144.233.120  城市：火星 "," 创：2026-04-01 17:23:47 改：2026-04-01 17:23:47 ","0","图片","(id: 0)","达人原创"
"324951","    Aff：30371439 , 欢喜冰棍 Vip：undefined 余额：0  |  收益：0  认证：否     "," 前女友视频和图片 #达人原创  前女友视频和图片 "," 图片：2  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：223.160.185.65  城市：四川 "," 创：2026-04-01 17:18:19 改：2026-04-01 17:18:19 ","0","图片","(id: 0)","达人原创"
"324950","    Aff：458703372 , 细腻给钢笔 Vip：undefined 余额：0  |  收益：0  认证：否     "," 我是骚逼母狗臭婊子 #女友视角  最近跟老公离婚了好寂寞，想找个长期炮友。喜欢被无套内射。会嗦会裹，保证让你舒服的欲仙欲死。 "," 图片：0  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：123.179.106.167  城市：内蒙古 "," 创：2026-04-01 17:18:16 改：2026-04-01 17:18:16 ","0","视频","(id: 0)","女友视角"
"324949","    Aff：499335347 , 山谷aaa Vip：undefined 余额：0  |  收益：0  认证：否     "," 好像破处啊真的好想 #达人原创  找你的好想每天都想 "," 图片：0  |  视频：0  点赞：1  |  浏览：51  点赞(假)：0  |  浏览(假)：0  评论：9  来源标识： "," 审核：通过 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：111.55.112.87  城市：黑龙江 "," 创：2026-04-01 17:16:00 改：2026-04-01 20:44:09 ","0","文字","ljl123(id: 263)","达人原创"
"324948","    Aff：498597205 , 坦率迎音响 Vip：undefined 余额：1  |  收益：0  认证：否     "," 签到签到签到签到 #达人原创  签到签到签到签到 "," 图片：0  |  视频：0  点赞：1  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：通过 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：111.49.85.1  城市：宁夏 "," 创：2026-04-01 17:08:13 改：2026-04-01 19:21:36 ","0","文字","ljl123(id: 263)","达人原创"
"324947","    Aff：201953422 , 时尚扯中心 Vip：undefined 余额：0  |  收益：0  认证：否     "," 这个我是真喜欢啊 #情欲故事  这个我是真喜欢啊 "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：通过 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：112.103.56.230  城市：黑龙江 "," 创：2026-04-01 17:05:52 改：2026-04-01 17:10:37 ","0","文字","ljl123(id: 263)","情欲故事"
"324946","    Aff：330186544 , 酷酷迎奇迹 Vip：undefined 余额：0  |  收益：0  认证：否     "," 复制网址用自带浏览器打开，51吃瓜-带你吃最新最热的瓜！
永久免费吃瓜App下载地址  https: #原创视频  复制网址用自带浏览器打开，51吃瓜-带你吃最新最热的瓜！永久免费吃瓜App下载地址https://9.... "," 图片：0  |  视频：0  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：通过 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：117.179.58.57  城市：黑龙江 "," 创：2026-04-01 17:05:01 改：2026-04-01 17:10:37 ","0","文字","ljl123(id: 263)","原创视频"
"324945","    Aff：455023217 , 明理扯衬衫 Vip：undefined 余额：2001  |  收益：0  认证：否     "," 贱逼小母狗小玉问有人想喝嘛 #达人原创  贱逼小母狗小玉问有人想喝嘛 "," 图片：2  |  视频：1  点赞：0  |  浏览：0  点赞(假)：0  |  浏览(假)：0  评论：0  来源标识： "," 审核：待审核 资源：未完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：223.10.134.19  城市：山西 "," 创：2026-04-01 17:05:01 改：2026-04-01 17:05:01 ","0","视频","(id: 0)","达人原创"
"324944","    Aff：381488998 , 坚强美女 Vip：undefined 余额：0  |  收益：0  认证：否     "," 以下都为本人自愿自曝 #达人原创  以下都为本人自愿自曝，曾蕾，29岁，165/100，B罩杯，河北石家庄机关单位，16岁勾引老师，被两.... "," 图片：2  |  视频：0  点赞：8  |  浏览：2423  点赞(假)：0  |  浏览(假)：0  评论：31  来源标识： "," 审核：通过 资源：已完成 删除：未删除 订阅：否 置顶：0 | 置精：未置精 打赏次数：0 打赏收益：0 "," ip：223.104.195.114  城市：山东 "," 创：2026-04-01 17:04:10 改：2026-04-01 20:48:46 ","0","图片","ljl123(id: 263)","达人原创"
